 Ver5.0 position,Systematic ID,Gene ,Gene description,Ver5.0 strain (vs M-2030H-U5),Ver5.0 strain (vs M-3030H-U5),Ver5.0 strain (vs M-4030H-U5),ade type,,Plate/well position,,,,,,,,,,,,,
V5-P01-02,SPAC1002.20,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-03,SPAC11E3.06,map1,MADS-box transcription factor Map1,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-04,SPAC11E3.10,0,VanZ-like family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,Plate ,1,2,3,4,5,6,7,8,9,10,11,12,
V5-P01-05,SPAC11E3.12,0,conserved eukaryotic protein,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,A,1,2,3,4,5,6,7,8,9,10,11,12,
V5-P01-06,SPAC1296.04,mug65,spore wall assembly protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,B,13,14,15,16,17,18,19,20,21,22,23,24,
V5-P01-07,SPAC13A11.03,mcp7,meiosis specific coiled-coil protein Mcp7,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,C,25,26,27,28,29,30,31,32,33,34,35,36,
V5-P01-08,SPAC13G7.03,0,up-frameshift suppressor3 family,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,D,37,38,39,40,41,42,43,44,45,46,47,48,
V5-P01-09,SPAC13G7.07,arb2,argonaute binding protein 2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,E,49,50,51,52,53,54,55,56,57,58,59,60,
V5-P01-10,SPAC13G7.11,0,mitochondrial inner membrane protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,F,61,62,63,64,65,66,67,68,69,70,71,72,
V5-P01-11,SPAC1420.03,rpn501,19S proteasome regulatory subunit Rpn501,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,G,73,74,75,76,77,78,79,80,81,82,83,84,
V5-P01-12,SPAC1486.01,0,manganese superoxide dismutase (AF069292),ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,H,85,86,87,88,89,90,91,92,93,94,95,96,
V5-P01-13,SPAC14C4.16,dad3,DASH complex subunit Dad3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
